Candidate ID,Interview Score,Reference Check,Communication Skill Level,Cultural Fit,Preferred Work Environment,Date of Interview,Date of Decision,Hired
72,5,Positive,Excellent,Strong Mismatch,Flexible,8/3/2023,8/24/2023,No
73,4,Positive,Poor,Neutral,Field Work,6/8/2023,6/26/2023,No
74,5,Negative,Below Average,Strong Mismatch,Hybrid,7/6/2023,7/23/2023,No
75,6,Positive,Below Average,Strong Mismatch,Fully Remote,5/3/2023,5/25/2023,No
76,3,Negative,Good,Strong Mismatch,Hybrid,3/23/2023,4/8/2023,No
77,2,Neutral,Below Average,Fit,Hybrid,1/25/2023,2/16/2023,No
78,2,Negative,Poor,Fit,In-Office,3/22/2023,4/12/2023,No
79,8,Positive,Good,Neutral,Field Work,3/30/2023,4/21/2023,Yes
80,2,Negative,Average,Fit,Field Work,4/20/2023,5/5/2023,No
81,7,Negative,Below Average,Slight Mismatch,Field Work,1/25/2023,2/14/2023,No
82,9,Neutral,Below Average,Fit,Flexible,4/5/2023,4/27/2023,No
83,6,Negative,Average,Neutral,Fully Remote,5/25/2023,6/16/2023,No
84,3,Neutral,Good,Strong Fit,Field Work,1/18/2023,2/8/2023,No
85,2,Neutral,Excellent,Slight Mismatch,In-Office,8/31/2023,9/15/2023,No
86,9,Positive,Below Average,Fit,Fully Remote,2/23/2023,3/17/2023,No
87,10,Positive,Good,Neutral,Fully Remote,3/23/2023,4/10/2023,Yes
88,10,Positive,Average,Strong Mismatch,Flexible,4/20/2023,5/8/2023,No
89,7,Neutral,Excellent,Fit,Fully Remote,3/15/2023,4/1/2023,No
90,2,Neutral,Good,Strong Mismatch,Field Work,7/12/2023,7/28/2023,No
91,9,Positive,Below Average,Fit,In-Office,5/4/2023,5/22/2023,No
92,1,Neutral,Good,Fit,Flexible,5/17/2023,6/5/2023,No
93,10,Negative,Good,Strong Mismatch,Fully Remote,7/6/2023,7/25/2023,No
94,6,Negative,Excellent,Neutral,Hybrid,2/1/2023,2/19/2023,No
95,5,Negative,Good,Slight Mismatch,Flexible,6/15/2023,6/30/2023,No
96,3,Positive,Good,Strong Mismatch,Fully Remote,7/13/2023,8/3/2023,No
97,4,Neutral,Poor,Fit,In-Office,5/17/2023,6/7/2023,No
98,9,Positive,Poor,Fit,In-Office,8/24/2023,9/11/2023,Yes
99,9,Neutral,Excellent,Neutral,Fully Remote,1/4/2023,1/20/2023,Yes
100,10,Positive,Below Average,Neutral,Fully Remote,5/18/2023,6/2/2023,Yes
101,4,Positive,Average,Fit,Hybrid,4/13/2023,5/2/2023,No
102,3,Negative,Good,Strong Fit,Flexible,2/23/2023,3/10/2023,No
103,10,Positive,Good,Slight Mismatch,Field Work,7/6/2023,7/22/2023,No
104,8,Positive,Excellent,Neutral,Field Work,6/15/2023,7/2/2023,No
105,3,Negative,Good,Strong Fit,Fully Remote,3/9/2023,3/25/2023,No
106,5,Positive,Poor,Fit,Field Work,8/23/2023,9/14/2023,No
107,5,Negative,Average,Neutral,Fully Remote,5/4/2023,5/25/2023,No
108,4,Negative,Poor,Slight Mismatch,Field Work,6/29/2023,7/19/2023,No
109,1,Neutral,Poor,Fit,Hybrid,3/16/2023,4/4/2023,No
110,7,Neutral,Poor,Neutral,Flexible,6/21/2023,7/7/2023,No
111,7,Positive,Poor,Fit,Flexible,5/25/2023,6/12/2023,No
112,6,Negative,Average,Strong Fit,In-Office,7/26/2023,8/11/2023,No
113,5,Negative,Good,Strong Fit,Hybrid,2/8/2023,2/23/2023,No
114,7,Positive,Excellent,Slight Mismatch,In-Office,7/12/2023,7/29/2023,No
115,3,Negative,Average,Neutral,Field Work,1/26/2023,2/17/2023,No
116,6,Positive,Average,Fit,In-Office,6/8/2023,6/29/2023,No
117,8,Neutral,Good,Neutral,Flexible,8/17/2023,9/1/2023,No
118,5,Positive,Poor,Strong Fit,Flexible,6/8/2023,6/28/2023,No
119,7,Negative,Below Average,Neutral,Fully Remote,8/31/2023,9/16/2023,No
120,6,Negative,Poor,Fit,Field Work,6/1/2023,6/21/2023,No
121,3,Neutral,Excellent,Neutral,Fully Remote,4/20/2023,5/11/2023,No
122,5,Neutral,Excellent,Neutral,In-Office,5/4/2023,5/24/2023,No
123,5,Neutral,Poor,Slight Mismatch,Fully Remote,6/7/2023,6/27/2023,No
124,2,Neutral,Poor,Strong Fit,Hybrid,2/16/2023,3/5/2023,No
125,10,Negative,Good,Neutral,In-Office,2/23/2023,3/15/2023,No
126,2,Negative,Poor,Slight Mismatch,Flexible,4/26/2023,5/18/2023,No
127,8,Neutral,Good,Fit,Flexible,5/18/2023,6/3/2023,No
128,7,Negative,Below Average,Fit,Fully Remote,5/18/2023,6/7/2023,No
129,9,Negative,Excellent,Strong Mismatch,Fully Remote,2/2/2023,2/19/2023,No
130,6,Neutral,Excellent,Strong Fit,In-Office,2/1/2023,2/18/2023,No
131,1,Positive,Good,Strong Fit,Hybrid,1/25/2023,2/15/2023,No
132,4,Negative,Poor,Strong Fit,Field Work,1/25/2023,2/12/2023,No
133,9,Negative,Poor,Neutral,Field Work,7/20/2023,8/4/2023,Yes
134,8,Neutral,Below Average,Neutral,Fully Remote,8/2/2023,8/21/2023,No
135,5,Neutral,Poor,Fit,In-Office,3/23/2023,4/11/2023,No
136,8,Negative,Good,Neutral,Field Work,8/9/2023,8/30/2023,No
137,9,Positive,Poor,Neutral,Hybrid,7/6/2023,7/23/2023,No
138,8,Neutral,Below Average,Fit,Fully Remote,3/22/2023,4/13/2023,No
139,2,Neutral,Excellent,Neutral,Flexible,3/30/2023,4/14/2023,No
140,6,Negative,Good,Strong Fit,Field Work,4/26/2023,5/14/2023,No
141,7,Positive,Excellent,Strong Fit,Field Work,7/19/2023,8/4/2023,No
142,3,Negative,Below Average,Strong Mismatch,Hybrid,4/12/2023,5/2/2023,No
143,3,Positive,Below Average,Strong Fit,Hybrid,2/2/2023,2/17/2023,No
144,6,Positive,Good,Slight Mismatch,Fully Remote,7/5/2023,7/27/2023,No
145,3,Negative,Good,Slight Mismatch,In-Office,7/6/2023,7/26/2023,No
146,9,Negative,Poor,Strong Mismatch,Fully Remote,2/8/2023,2/23/2023,No
147,4,Neutral,Below Average,Strong Mismatch,Hybrid,3/29/2023,4/13/2023,No
148,3,Negative,Average,Strong Fit,Fully Remote,6/29/2023,7/21/2023,No
149,2,Negative,Poor,Fit,Hybrid,3/30/2023,4/21/2023,No
150,6,Positive,Below Average,Slight Mismatch,Hybrid,1/25/2023,2/11/2023,No
151,8,Positive,Good,Strong Fit,Fully Remote,3/29/2023,4/18/2023,No
152,2,Neutral,Average,Slight Mismatch,Field Work,4/20/2023,5/6/2023,No
153,1,Neutral,Good,Neutral,In-Office,3/23/2023,4/10/2023,No
154,9,Neutral,Good,Slight Mismatch,Fully Remote,7/19/2023,8/7/2023,No
155,10,Positive,Excellent,Fit,Fully Remote,3/22/2023,4/7/2023,No
156,3,Positive,Excellent,Slight Mismatch,Fully Remote,2/16/2023,3/8/2023,No
157,10,Negative,Below Average,Strong Mismatch,Field Work,1/19/2023,2/10/2023,No
158,7,Neutral,Good,Strong Fit,Hybrid,1/4/2023,1/19/2023,No
159,3,Negative,Poor,Fit,Hybrid,7/20/2023,8/7/2023,No
160,6,Negative,Poor,Strong Mismatch,Hybrid,4/12/2023,4/27/2023,No
161,10,Negative,Poor,Slight Mismatch,In-Office,3/30/2023,4/21/2023,No
162,1,Neutral,Excellent,Neutral,Hybrid,4/5/2023,4/24/2023,No
163,8,Negative,Poor,Neutral,Hybrid,1/25/2023,2/10/2023,No
164,1,Positive,Excellent,Fit,Field Work,7/27/2023,8/12/2023,No
165,4,Negative,Good,Strong Mismatch,Flexible,3/30/2023,4/20/2023,No
166,3,Positive,Poor,Neutral,Flexible,5/24/2023,6/8/2023,No
167,7,Neutral,Average,Strong Mismatch,Fully Remote,1/19/2023,2/6/2023,No
168,1,Neutral,Excellent,Neutral,Fully Remote,4/19/2023,5/6/2023,No
169,7,Positive,Average,Slight Mismatch,Hybrid,3/1/2023,3/21/2023,No
170,5,Negative,Good,Strong Mismatch,In-Office,8/10/2023,8/31/2023,No
171,3,Positive,Below Average,Slight Mismatch,Hybrid,5/10/2023,5/27/2023,No
172,6,Negative,Excellent,Neutral,Fully Remote,7/19/2023,8/6/2023,No
173,9,Negative,Excellent,Slight Mismatch,Fully Remote,3/9/2023,3/31/2023,No
174,3,Neutral,Poor,Strong Mismatch,Fully Remote,5/3/2023,5/18/2023,No
175,2,Positive,Average,Fit,Hybrid,4/26/2023,5/17/2023,No
176,7,Positive,Poor,Neutral,Hybrid,8/17/2023,9/8/2023,No
177,2,Negative,Poor,Strong Fit,In-Office,1/12/2023,1/27/2023,No
178,10,Positive,Excellent,Fit,Field Work,1/18/2023,2/8/2023,No
179,3,Neutral,Average,Strong Mismatch,Hybrid,3/29/2023,4/15/2023,No
180,3,Neutral,Poor,Strong Fit,Hybrid,1/26/2023,2/12/2023,No
181,4,Neutral,Excellent,Neutral,Flexible,7/12/2023,8/2/2023,No
182,8,Positive,Excellent,Strong Mismatch,In-Office,6/7/2023,6/26/2023,No
183,10,Positive,Below Average,Strong Mismatch,Flexible,3/2/2023,3/21/2023,No
184,7,Positive,Good,Neutral,In-Office,5/25/2023,6/12/2023,No
185,3,Neutral,Poor,Slight Mismatch,In-Office,4/19/2023,5/7/2023,No
186,5,Positive,Poor,Slight Mismatch,In-Office,1/19/2023,2/8/2023,No
187,4,Negative,Below Average,Strong Fit,In-Office,8/2/2023,8/18/2023,No
188,5,Neutral,Good,Strong Mismatch,Hybrid,6/15/2023,7/1/2023,No
189,10,Positive,Average,Strong Fit,In-Office,3/1/2023,3/23/2023,Yes
190,4,Positive,Excellent,Neutral,Flexible,6/7/2023,6/25/2023,No
191,10,Neutral,Excellent,Neutral,Flexible,8/9/2023,8/29/2023,No
192,1,Negative,Below Average,Slight Mismatch,Field Work,7/5/2023,7/21/2023,No
193,5,Neutral,Poor,Neutral,Field Work,7/5/2023,7/25/2023,No
194,5,Neutral,Good,Neutral,Field Work,8/9/2023,8/29/2023,No
195,10,Negative,Average,Strong Mismatch,Field Work,3/1/2023,3/20/2023,No
196,8,Negative,Good,Neutral,Fully Remote,1/5/2023,1/23/2023,No
197,10,Positive,Good,Slight Mismatch,Field Work,6/21/2023,7/8/2023,No
198,1,Neutral,Poor,Neutral,In-Office,1/5/2023,1/25/2023,No
199,10,Negative,Good,Fit,In-Office,2/15/2023,3/6/2023,Yes
200,3,Positive,Good,Neutral,In-Office,3/23/2023,4/11/2023,No
201,8,Positive,Average,Fit,Fully Remote,6/21/2023,7/13/2023,No
202,2,Positive,Good,Fit,Hybrid,8/23/2023,9/7/2023,No
203,8,Positive,Good,Strong Mismatch,Hybrid,1/5/2023,1/21/2023,Yes
204,8,Negative,Average,Neutral,Flexible,5/10/2023,6/1/2023,No
205,10,Neutral,Excellent,Strong Mismatch,In-Office,8/9/2023,8/26/2023,No
206,7,Negative,Good,Neutral,Flexible,2/15/2023,3/5/2023,No
207,9,Negative,Average,Fit,In-Office,5/25/2023,6/12/2023,No
208,3,Negative,Good,Strong Fit,Flexible,8/2/2023,8/24/2023,No
209,5,Positive,Excellent,Strong Fit,Fully Remote,8/31/2023,9/18/2023,No
210,4,Negative,Excellent,Neutral,Field Work,5/11/2023,6/2/2023,No
211,2,Neutral,Average,Strong Mismatch,In-Office,8/10/2023,9/1/2023,No
212,3,Neutral,Average,Slight Mismatch,Flexible,5/4/2023,5/24/2023,No
213,7,Neutral,Average,Neutral,Hybrid,5/3/2023,5/24/2023,No
214,5,Neutral,Average,Strong Mismatch,Fully Remote,8/23/2023,9/7/2023,No
215,2,Neutral,Poor,Slight Mismatch,Fully Remote,6/15/2023,7/6/2023,No
216,6,Negative,Poor,Strong Fit,Hybrid,8/17/2023,9/6/2023,No
217,5,Positive,Average,Slight Mismatch,Hybrid,3/22/2023,4/13/2023,No
218,7,Neutral,Poor,Neutral,Flexible,8/23/2023,9/8/2023,No
219,9,Negative,Below Average,Fit,Hybrid,2/1/2023,2/20/2023,No
220,5,Positive,Excellent,Fit,In-Office,8/2/2023,8/23/2023,No
221,3,Positive,Poor,Slight Mismatch,Fully Remote,5/17/2023,6/8/2023,No
222,5,Positive,Poor,Slight Mismatch,Field Work,4/19/2023,5/6/2023,No
223,4,Positive,Excellent,Slight Mismatch,Fully Remote,5/4/2023,5/25/2023,No
224,2,Neutral,Below Average,Strong Mismatch,In-Office,3/16/2023,4/2/2023,No
225,5,Positive,Below Average,Strong Mismatch,In-Office,6/1/2023,6/19/2023,No
226,2,Positive,Excellent,Neutral,In-Office,5/24/2023,6/14/2023,No
227,3,Neutral,Average,Slight Mismatch,Field Work,5/31/2023,6/19/2023,No
228,5,Positive,Good,Strong Mismatch,Flexible,5/17/2023,6/6/2023,No
229,6,Neutral,Average,Strong Fit,Hybrid,5/10/2023,5/31/2023,No
230,9,Negative,Average,Strong Fit,Field Work,4/26/2023,5/13/2023,No
231,5,Negative,Below Average,Strong Mismatch,In-Office,2/9/2023,3/1/2023,No
232,10,Positive,Average,Slight Mismatch,Flexible,3/15/2023,3/30/2023,No
233,3,Neutral,Below Average,Slight Mismatch,Fully Remote,5/3/2023,5/24/2023,No
234,5,Negative,Below Average,Strong Mismatch,Flexible,4/13/2023,5/3/2023,No
235,4,Neutral,Good,Neutral,Flexible,6/22/2023,7/7/2023,No
236,8,Positive,Poor,Fit,Hybrid,6/14/2023,7/6/2023,No
237,8,Negative,Good,Strong Fit,Field Work,8/23/2023,9/9/2023,Yes
238,2,Positive,Below Average,Fit,Fully Remote,5/25/2023,6/11/2023,No
239,5,Neutral,Below Average,Strong Fit,Field Work,5/18/2023,6/8/2023,No
240,9,Neutral,Average,Strong Mismatch,Fully Remote,5/25/2023,6/9/2023,No
241,5,Neutral,Good,Neutral,Hybrid,3/30/2023,4/21/2023,No
242,1,Negative,Average,Strong Mismatch,Field Work,2/15/2023,3/2/2023,No
243,7,Neutral,Excellent,Strong Mismatch,Flexible,3/9/2023,3/25/2023,No
244,2,Negative,Excellent,Neutral,Field Work,3/9/2023,3/24/2023,No
245,6,Positive,Average,Slight Mismatch,In-Office,5/24/2023,6/13/2023,No
246,6,Neutral,Good,Fit,Fully Remote,1/26/2023,2/16/2023,No
247,10,Neutral,Good,Neutral,Hybrid,5/17/2023,6/8/2023,No
248,3,Negative,Good,Neutral,Field Work,8/9/2023,8/28/2023,No
249,10,Positive,Average,Fit,In-Office,2/8/2023,2/23/2023,Yes
250,9,Neutral,Poor,Strong Mismatch,Hybrid,1/5/2023,1/26/2023,No
251,4,Positive,Excellent,Slight Mismatch,Fully Remote,3/8/2023,3/23/2023,No
252,9,Neutral,Below Average,Neutral,Hybrid,2/15/2023,3/7/2023,Yes
253,3,Positive,Average,Fit,In-Office,4/19/2023,5/4/2023,No
254,4,Neutral,Excellent,Fit,Fully Remote,4/13/2023,4/28/2023,No
255,1,Neutral,Average,Fit,Field Work,3/16/2023,4/7/2023,No
256,3,Positive,Poor,Neutral,Hybrid,2/23/2023,3/17/2023,No
257,2,Positive,Poor,Strong Fit,In-Office,8/30/2023,9/21/2023,No
258,5,Positive,Good,Neutral,Fully Remote,5/4/2023,5/25/2023,No
259,5,Neutral,Average,Strong Fit,Hybrid,6/22/2023,7/9/2023,No
260,2,Neutral,Average,Neutral,Hybrid,4/26/2023,5/14/2023,No
261,2,Neutral,Good,Slight Mismatch,In-Office,4/6/2023,4/22/2023,No
262,5,Neutral,Average,Strong Fit,Hybrid,6/21/2023,7/13/2023,No
263,9,Negative,Poor,Fit,Field Work,2/9/2023,2/25/2023,No
264,2,Negative,Good,Neutral,Hybrid,7/5/2023,7/21/2023,No
265,4,Neutral,Average,Strong Mismatch,Fully Remote,4/6/2023,4/26/2023,No
266,7,Positive,Below Average,Slight Mismatch,Flexible,8/17/2023,9/7/2023,No
267,9,Negative,Good,Neutral,Hybrid,6/22/2023,7/7/2023,No
268,6,Negative,Good,Strong Fit,Flexible,6/14/2023,7/2/2023,No
269,3,Negative,Average,Strong Mismatch,Field Work,6/28/2023,7/15/2023,No
270,6,Neutral,Average,Fit,In-Office,1/19/2023,2/3/2023,No
271,4,Neutral,Average,Strong Mismatch,Flexible,2/22/2023,3/16/2023,No
272,9,Neutral,Poor,Fit,In-Office,3/8/2023,3/24/2023,No
273,3,Positive,Below Average,Strong Fit,Flexible,7/26/2023,8/11/2023,No
274,1,Negative,Below Average,Slight Mismatch,In-Office,1/11/2023,1/28/2023,No
275,8,Neutral,Average,Strong Fit,Fully Remote,4/26/2023,5/11/2023,Yes
276,2,Negative,Excellent,Slight Mismatch,Fully Remote,6/15/2023,7/7/2023,No
277,9,Positive,Poor,Strong Mismatch,Hybrid,6/7/2023,6/28/2023,No
278,10,Positive,Poor,Slight Mismatch,Hybrid,2/2/2023,2/23/2023,No
279,3,Positive,Average,Strong Mismatch,Hybrid,5/25/2023,6/13/2023,No
280,9,Negative,Below Average,Fit,Field Work,3/23/2023,4/8/2023,No
281,6,Positive,Average,Fit,Fully Remote,3/2/2023,3/21/2023,No
282,9,Positive,Poor,Strong Mismatch,Hybrid,7/26/2023,8/14/2023,No
283,3,Negative,Average,Slight Mismatch,Field Work,2/1/2023,2/22/2023,No
284,10,Neutral,Excellent,Strong Fit,Fully Remote,7/5/2023,7/20/2023,No
285,10,Positive,Excellent,Fit,Field Work,2/8/2023,2/27/2023,No
286,5,Positive,Poor,Strong Fit,Hybrid,1/26/2023,2/11/2023,No
287,5,Positive,Excellent,Neutral,Fully Remote,1/18/2023,2/2/2023,No
288,1,Neutral,Good,Strong Fit,Hybrid,4/12/2023,5/4/2023,No
289,4,Neutral,Poor,Slight Mismatch,Flexible,6/22/2023,7/8/2023,No
290,5,Negative,Below Average,Slight Mismatch,Hybrid,8/31/2023,9/17/2023,No
291,4,Positive,Below Average,Slight Mismatch,Hybrid,3/30/2023,4/19/2023,No
292,10,Neutral,Excellent,Slight Mismatch,Flexible,2/8/2023,3/1/2023,Yes
293,5,Positive,Good,Strong Fit,Fully Remote,1/19/2023,2/10/2023,No
294,7,Neutral,Good,Strong Fit,Fully Remote,7/13/2023,7/29/2023,No
295,10,Positive,Excellent,Strong Fit,Field Work,4/5/2023,4/20/2023,No
296,4,Neutral,Excellent,Strong Fit,Fully Remote,8/24/2023,9/9/2023,No
297,5,Positive,Excellent,Slight Mismatch,In-Office,4/6/2023,4/23/2023,No
298,4,Neutral,Average,Strong Mismatch,Flexible,8/23/2023,9/10/2023,No
299,2,Neutral,Good,Strong Mismatch,In-Office,5/18/2023,6/5/2023,No
300,5,Neutral,Average,Strong Fit,Flexible,1/19/2023,2/9/2023,No
301,8,Positive,Excellent,Fit,In-Office,5/4/2023,5/24/2023,No
302,10,Negative,Good,Strong Fit,Hybrid,7/12/2023,7/30/2023,No
303,10,Negative,Average,Slight Mismatch,Fully Remote,6/15/2023,7/5/2023,No
304,9,Neutral,Good,Fit,In-Office,2/2/2023,2/20/2023,Yes
305,2,Positive,Excellent,Slight Mismatch,Fully Remote,3/29/2023,4/16/2023,No
306,8,Negative,Poor,Fit,In-Office,5/11/2023,5/26/2023,No
307,10,Neutral,Good,Neutral,Field Work,3/29/2023,4/18/2023,No
308,5,Positive,Average,Strong Mismatch,Hybrid,1/12/2023,2/2/2023,No
309,7,Neutral,Average,Fit,Fully Remote,6/29/2023,7/18/2023,No
310,9,Positive,Excellent,Fit,Field Work,3/16/2023,4/6/2023,No
311,5,Negative,Below Average,Neutral,Fully Remote,3/23/2023,4/7/2023,No
312,7,Negative,Average,Strong Mismatch,Flexible,5/17/2023,6/8/2023,No
313,7,Positive,Average,Slight Mismatch,In-Office,6/14/2023,7/5/2023,No
314,1,Positive,Below Average,Fit,In-Office,7/27/2023,8/18/2023,No
315,2,Negative,Average,Slight Mismatch,Field Work,8/9/2023,8/28/2023,No
316,3,Negative,Below Average,Neutral,Flexible,5/10/2023,5/25/2023,No
317,2,Negative,Average,Slight Mismatch,Field Work,6/8/2023,6/27/2023,No
318,1,Neutral,Average,Neutral,In-Office,7/6/2023,7/24/2023,No
319,4,Neutral,Good,Strong Mismatch,In-Office,6/14/2023,7/5/2023,No
320,8,Positive,Good,Fit,Hybrid,2/23/2023,3/13/2023,No
321,9,Neutral,Below Average,Neutral,Field Work,3/8/2023,3/28/2023,No
322,8,Positive,Below Average,Slight Mismatch,Hybrid,4/19/2023,5/11/2023,No
323,6,Negative,Poor,Fit,Fully Remote,5/10/2023,5/26/2023,No
324,5,Negative,Poor,Neutral,Field Work,6/15/2023,7/5/2023,No
325,1,Positive,Average,Strong Fit,Flexible,7/27/2023,8/12/2023,No
326,7,Neutral,Excellent,Strong Fit,In-Office,8/3/2023,8/25/2023,No
327,7,Positive,Average,Strong Mismatch,Fully Remote,2/1/2023,2/19/2023,No
328,10,Neutral,Excellent,Strong Fit,Field Work,2/8/2023,2/25/2023,Yes
329,2,Positive,Excellent,Neutral,Field Work,5/31/2023,6/16/2023,No
330,4,Neutral,Below Average,Strong Fit,Flexible,4/13/2023,5/4/2023,No
331,3,Positive,Average,Neutral,Hybrid,8/2/2023,8/17/2023,No
332,1,Neutral,Excellent,Strong Mismatch,Hybrid,7/12/2023,7/27/2023,No
333,7,Neutral,Excellent,Neutral,Fully Remote,8/2/2023,8/17/2023,No
334,7,Positive,Good,Strong Mismatch,Fully Remote,4/27/2023,5/15/2023,No
335,2,Neutral,Excellent,Fit,Hybrid,7/19/2023,8/10/2023,No
336,7,Neutral,Below Average,Fit,Fully Remote,5/11/2023,5/28/2023,No
337,5,Neutral,Poor,Strong Mismatch,Flexible,8/9/2023,8/24/2023,No
338,2,Neutral,Below Average,Strong Mismatch,Field Work,6/8/2023,6/23/2023,No
339,9,Neutral,Good,Strong Mismatch,Hybrid,8/31/2023,9/22/2023,No
