Candidate ID,GitHub Profile,GitHub Projects,Python Skill Score,Java Skill Score,SQL Skill Score,R Skill Score,Machine Learning Skill Score,HTML Skill Score,CSS Skill Score,JavaScript Skill Score,Technical Test Score
84,Yes,25,2,1,8,9,10,10,9,5,3
85,Yes,16,4,6,3,5,9,9,10,2,3
86,No,0,9,4,9,1,7,6,5,3,8
87,No,0,4,9,8,5,9,3,10,6,10
88,Yes,30,5,1,8,3,6,1,4,6,6
89,Yes,17,1,7,3,10,8,3,2,9,7
90,Yes,38,4,8,2,3,3,10,8,10,8
91,No,0,3,1,5,3,4,9,3,8,7
92,No,0,10,9,8,9,7,2,2,9,4
93,Yes,37,1,4,6,3,8,3,6,10,4
94,No,0,5,7,1,7,4,2,6,7,10
95,No,0,8,6,10,2,6,9,3,2,6
96,No,0,1,6,5,10,10,10,10,7,3
97,No,0,7,10,6,9,7,5,2,2,7
98,Yes,45,6,9,8,3,5,7,7,8,10
99,Yes,12,4,2,2,1,2,7,4,8,10
100,Yes,34,9,8,8,4,5,9,9,8,8
101,No,0,3,4,8,5,4,1,1,3,3
102,No,0,7,8,5,4,4,5,1,8,5
103,No,0,2,3,5,5,6,1,10,1,6
104,No,0,2,4,6,5,5,4,4,2,3
105,No,0,4,10,3,2,10,4,6,6,10
106,No,0,4,5,8,5,6,9,9,1,1
107,No,0,10,2,4,7,7,4,2,9,7
108,No,0,2,10,6,5,10,8,9,8,7
109,No,0,5,4,3,3,6,2,2,8,3
110,Yes,17,7,8,2,5,5,10,5,9,8
111,No,0,3,8,8,5,10,4,1,4,8
112,No,0,2,4,4,6,5,7,1,1,6
113,No,0,4,7,2,1,8,8,9,4,8
114,No,0,8,5,9,6,6,6,9,9,8
115,Yes,5,2,3,2,3,3,9,10,6,7
116,Yes,33,5,10,3,8,1,5,5,7,5
117,Yes,4,4,1,3,9,7,2,7,10,7
118,No,0,1,10,9,7,4,8,3,1,1
119,Yes,26,4,5,5,6,5,6,3,6,8
120,No,0,8,3,2,1,9,10,5,10,8
121,Yes,31,8,8,1,2,9,10,4,7,7
122,No,0,10,4,6,1,5,7,8,2,9
123,No,0,10,8,6,4,3,6,8,5,4
124,Yes,32,2,10,6,5,9,2,6,6,5
125,No,0,2,8,9,10,5,3,2,4,7
126,Yes,11,5,5,4,4,1,5,7,10,2
127,No,0,10,5,3,4,3,9,3,8,2
128,Yes,50,9,5,6,4,7,6,4,7,2
129,No,0,6,1,6,1,4,10,6,10,6
130,Yes,14,1,9,8,2,5,8,3,8,8
131,No,0,10,8,2,2,6,7,7,4,8
132,No,0,3,9,3,10,8,2,4,6,1
133,No,0,6,1,10,4,1,5,5,4,9
134,Yes,30,9,8,1,10,2,6,2,1,3
135,Yes,22,9,10,6,4,5,5,6,6,8
136,No,0,9,6,5,1,4,2,7,1,3
137,No,0,2,2,5,4,2,4,2,9,3
138,Yes,29,1,10,10,8,10,6,5,7,5
139,No,0,2,7,8,4,10,2,3,8,7
140,Yes,36,8,7,8,6,10,3,1,2,7
141,No,0,2,9,2,4,3,4,10,5,8
142,Yes,29,9,9,1,4,3,3,7,7,2
143,Yes,13,6,10,2,2,4,1,3,6,2
144,No,0,8,9,1,7,5,3,3,3,9
145,Yes,15,6,5,5,10,10,4,1,4,8
146,No,0,6,9,2,8,3,1,4,8,3
147,No,0,8,6,4,10,5,8,1,9,10
148,Yes,24,4,5,7,8,9,7,3,8,1
149,Yes,22,1,1,9,2,9,3,3,5,1
150,Yes,9,4,10,1,4,6,3,9,7,6
151,Yes,30,9,4,5,9,4,10,2,10,5
152,No,0,1,2,4,2,10,7,6,7,4
153,No,0,5,2,1,4,3,10,9,8,9
154,Yes,9,7,4,1,9,2,8,7,6,4
155,No,0,3,9,2,4,7,5,7,1,6
156,No,0,6,9,5,5,9,4,9,5,6
157,No,0,2,10,4,10,4,6,4,8,10
158,No,0,3,4,9,2,1,4,6,5,1
159,No,0,4,1,1,3,9,2,8,5,2
160,No,0,9,6,7,10,8,9,1,7,2
161,No,0,1,8,2,9,3,10,7,3,4
162,No,0,6,10,2,9,2,10,10,10,6
163,No,0,6,5,5,1,8,7,9,7,6
164,No,0,10,5,4,10,10,2,9,1,3
165,Yes,21,4,9,1,6,2,2,7,1,6
166,No,0,3,1,2,5,3,2,10,4,10
167,Yes,4,7,7,1,4,6,5,7,10,1
168,Yes,8,8,1,10,9,3,4,3,6,3
169,No,0,5,8,1,7,1,10,3,4,2
170,Yes,5,9,6,10,3,10,4,1,9,7
171,No,0,9,9,4,2,2,2,7,9,7
172,No,0,3,4,5,3,3,7,5,5,8
173,Yes,30,10,10,1,7,6,2,1,2,1
174,No,0,4,4,4,9,9,10,5,9,8
175,No,0,1,7,2,7,7,5,4,5,5
176,Yes,22,6,1,1,7,3,1,7,8,10
177,Yes,5,1,7,10,10,10,9,8,9,1
178,No,0,3,3,8,7,3,8,9,2,7
179,No,0,7,10,4,5,1,6,7,1,9
180,Yes,1,2,3,6,4,10,1,10,9,7
181,Yes,16,3,1,10,3,4,5,5,1,4
182,No,0,8,7,8,2,3,5,8,9,1
183,No,0,10,10,1,3,5,10,4,5,6
184,Yes,16,10,10,2,6,4,9,7,6,8
185,Yes,23,1,4,1,2,8,2,9,6,6
186,Yes,44,3,1,7,4,3,6,7,8,8
187,Yes,22,3,1,7,5,3,10,5,2,7
188,No,0,3,1,10,6,8,10,9,6,6
189,No,0,5,6,3,8,2,10,10,10,7
190,No,0,1,6,1,3,7,5,5,4,4
191,No,0,1,5,1,10,7,2,2,1,5
192,Yes,46,6,4,7,3,4,6,3,3,9
193,No,0,8,7,3,3,9,6,6,3,4
194,No,0,6,8,7,2,9,3,5,3,7
195,No,0,7,2,10,1,4,7,3,8,3
196,No,0,3,5,8,2,1,2,9,5,10
197,No,0,8,6,7,7,10,1,2,10,3
198,No,0,5,7,7,7,7,6,8,3,4
199,Yes,39,10,5,6,9,9,3,7,2,9
200,No,0,1,3,1,8,4,10,6,6,1
201,Yes,33,6,2,8,5,3,3,5,7,6
202,No,0,7,9,10,6,1,8,7,9,2
203,No,0,7,4,8,6,4,7,5,5,9
204,Yes,26,9,7,7,10,5,8,9,5,3
205,No,0,3,5,5,3,4,1,3,5,4
206,No,0,7,7,8,8,6,3,3,10,7
207,No,0,6,7,10,6,6,9,1,3,4
208,No,0,5,1,6,7,7,8,2,2,1
209,No,0,8,8,4,1,4,1,3,8,9
210,Yes,21,1,5,8,8,5,10,5,6,4
211,Yes,42,5,1,6,3,3,3,1,10,8
212,No,0,7,7,3,9,9,9,1,6,2
213,No,0,2,10,6,5,2,8,7,7,10
214,No,0,2,1,10,7,7,1,6,4,4
215,Yes,13,3,1,8,7,10,7,4,4,4
216,No,0,6,9,10,4,4,2,10,7,9
217,Yes,21,6,6,5,2,1,10,3,10,2
218,No,0,2,3,5,2,1,7,1,2,1
219,Yes,47,1,10,4,1,6,1,4,2,6
220,No,0,2,2,6,7,5,1,8,10,3
221,Yes,50,8,2,5,6,10,6,5,9,5
222,No,0,7,8,10,7,1,4,6,5,2
223,No,0,7,4,3,1,9,5,5,1,1
224,No,0,4,9,7,4,10,7,10,9,2
225,Yes,10,8,2,6,7,6,6,2,8,1
226,No,0,8,7,5,3,1,6,8,8,7
227,No,0,7,5,10,3,8,9,6,3,8
228,No,0,4,10,8,3,7,2,8,1,2
229,No,0,4,4,3,2,5,1,3,1,7
230,No,0,10,4,10,9,3,2,4,2,6
231,No,0,4,7,9,7,5,3,10,3,8
232,Yes,3,7,3,6,1,8,3,4,10,5
233,Yes,21,4,1,5,8,4,9,2,1,9
234,No,0,2,8,3,5,3,6,3,2,8
235,Yes,8,3,10,4,6,4,3,5,1,4
236,No,0,6,4,8,9,9,2,4,3,6
237,No,0,9,1,3,1,10,2,10,6,9
238,Yes,12,10,6,2,10,2,2,8,7,6
239,No,0,2,9,3,1,5,10,1,2,5
240,Yes,45,5,4,10,7,1,3,10,9,2
241,No,0,9,6,2,3,8,3,1,7,7
242,No,0,4,6,6,9,7,2,9,1,8
243,No,0,3,6,6,3,10,10,5,2,1
244,No,0,6,2,9,7,2,1,10,10,3
245,Yes,40,1,1,10,10,8,8,5,5,2
246,Yes,39,2,6,9,10,9,10,7,7,3
247,No,0,1,9,4,1,3,5,9,4,4
248,No,0,3,10,6,10,7,3,9,1,7
249,Yes,21,9,8,1,9,5,8,10,9,8
250,Yes,16,2,10,6,5,4,9,1,7,6
251,No,0,2,1,2,9,9,2,6,8,2
252,Yes,33,2,4,2,8,10,1,10,2,8
253,Yes,29,7,10,7,3,1,9,3,10,4
254,No,0,5,10,8,1,5,8,7,10,8
255,Yes,3,4,3,6,1,2,2,1,2,1
256,No,0,6,1,5,6,10,2,9,1,1
257,No,0,2,7,4,3,2,9,4,6,6
258,Yes,47,2,8,2,7,5,3,8,4,9
259,No,0,7,2,6,10,8,2,5,9,2
260,No,0,5,3,9,5,1,7,4,10,3
261,Yes,6,3,2,3,8,5,7,9,4,10
262,No,0,9,2,2,10,7,9,3,5,5
263,No,0,10,5,10,6,3,10,3,6,4
264,No,0,10,5,4,5,9,6,8,6,3
265,No,0,3,9,2,4,10,4,9,10,8
266,Yes,26,2,10,9,6,3,10,7,4,2
267,Yes,36,9,7,10,9,4,2,4,8,4
268,Yes,36,2,9,2,6,3,5,4,5,1
269,No,0,5,7,5,5,1,8,8,6,10
270,No,0,8,8,2,4,8,7,10,6,2
271,No,0,9,7,1,4,1,7,7,3,4
272,No,0,10,4,2,7,4,7,9,10,1
273,No,0,2,2,8,7,1,3,8,3,1
274,No,0,4,6,3,2,3,8,8,3,5
275,No,0,7,7,2,5,3,7,1,10,10
276,Yes,16,5,8,5,8,10,6,2,8,5
277,No,0,8,5,7,1,1,5,10,2,6
278,No,0,10,6,3,6,6,10,8,2,7
279,Yes,19,7,3,10,4,4,9,3,3,7
280,Yes,13,3,3,4,6,9,4,8,1,2
281,No,0,6,5,1,3,8,4,6,10,6
282,No,0,10,8,8,6,1,10,8,1,1
283,No,0,6,3,7,6,2,8,2,7,9
284,Yes,40,6,7,2,1,10,3,8,7,6
285,No,0,7,3,6,2,5,10,5,9,4
286,Yes,38,9,1,1,7,2,4,6,5,6
287,No,0,9,3,9,7,9,2,10,7,3
288,Yes,25,2,10,5,2,5,4,3,3,10
289,No,0,1,6,1,1,6,2,4,6,8
290,Yes,6,5,7,2,4,1,4,10,5,1
291,Yes,41,4,5,3,9,8,7,5,2,3
292,No,0,9,4,2,5,9,3,4,6,8
293,No,0,3,4,5,9,10,2,8,1,8
294,No,0,6,6,7,5,4,1,1,4,8
295,No,0,6,5,10,2,9,6,9,4,1
296,Yes,5,1,10,1,1,6,5,7,9,9
297,Yes,39,2,9,6,1,1,5,1,10,2
298,Yes,15,9,5,6,2,9,10,9,10,9
299,No,0,10,6,6,8,10,9,9,1,7
300,No,0,7,1,4,8,9,9,3,4,6
301,Yes,37,4,4,6,5,3,7,6,9,1
302,No,0,4,4,3,3,1,5,10,9,2
303,Yes,7,10,3,5,8,5,4,10,10,1
304,No,0,4,6,7,3,8,5,10,5,9
305,No,0,8,7,8,6,5,5,5,3,5
306,No,0,6,7,1,8,5,4,8,5,10
307,No,0,10,4,2,6,8,6,10,10,6
308,No,0,4,3,9,5,4,1,4,3,8
309,No,0,6,6,4,4,9,5,6,8,2
310,Yes,9,5,2,1,4,1,1,3,9,4
311,Yes,34,3,3,5,6,7,4,5,7,4
312,No,0,3,8,1,5,2,8,5,2,9
313,No,0,8,9,1,10,6,7,10,3,1
314,Yes,8,4,9,9,4,5,2,1,1,2
315,Yes,41,10,1,1,1,7,5,7,4,7
316,No,0,2,3,3,4,5,6,8,1,9
317,No,0,1,1,9,9,5,7,4,6,8
318,No,0,10,9,2,8,2,3,4,9,2
319,Yes,12,6,8,10,1,7,6,9,4,10
320,No,0,7,2,1,5,5,8,3,10,4
321,No,0,7,9,8,7,6,9,1,8,5
322,No,0,8,8,4,9,7,2,6,2,6
323,No,0,1,3,10,5,3,2,3,1,5
324,No,0,3,8,1,2,1,4,7,8,3
325,Yes,28,2,4,8,5,2,4,5,9,6
326,No,0,10,10,8,7,1,1,8,2,7
327,No,0,1,6,9,8,2,1,5,5,1
328,No,0,2,9,4,10,3,10,9,8,8
329,Yes,31,5,10,6,2,10,1,10,1,6
330,No,0,9,8,4,5,4,1,1,3,6
331,Yes,26,3,5,1,7,2,1,6,4,6
332,No,0,1,6,1,1,4,8,9,1,8
333,Yes,14,6,3,10,7,4,1,6,8,1
334,No,0,4,7,6,1,5,2,9,10,9
335,No,0,1,9,10,4,4,4,2,10,1
336,No,0,4,4,5,3,5,10,10,4,3
337,No,0,1,2,2,8,9,10,10,1,7
338,No,0,2,4,2,3,5,7,6,5,5
339,No,0,4,10,10,4,5,2,9,5,3
340,No,0,3,6,2,5,9,5,2,6,2
341,No,0,9,3,4,6,1,2,7,2,6
342,No,0,3,8,6,8,5,6,9,8,10
343,Yes,4,6,4,3,7,9,2,9,8,4
344,Yes,32,4,5,5,10,8,5,4,4,8
345,No,0,3,3,7,6,9,9,10,1,8
346,Yes,20,10,2,8,10,1,6,7,5,4
347,No,0,4,3,2,6,8,6,1,5,5
348,No,0,3,1,2,3,6,3,4,3,10
349,No,0,5,8,9,2,6,5,8,6,9
350,No,0,3,4,8,9,7,10,8,1,4
351,Yes,12,5,2,9,3,8,8,8,5,9
352,Yes,6,9,8,3,10,7,1,10,6,5
353,No,0,9,10,7,1,2,9,5,7,2
354,No,0,7,8,4,1,4,9,3,3,3
355,Yes,41,6,1,8,1,9,8,6,1,8
356,Yes,9,7,5,3,10,3,3,2,1,4
357,No,0,2,4,3,5,3,4,2,5,9
358,No,0,9,8,5,9,8,1,2,6,3
359,No,0,10,10,1,4,8,2,3,2,3
360,No,0,10,1,6,6,7,3,3,4,3
361,Yes,41,9,4,6,2,1,4,2,4,3
362,No,0,2,5,5,5,2,5,10,4,9
363,No,0,2,7,7,2,7,9,3,3,5
364,No,0,7,8,6,7,10,6,3,7,10
365,No,0,7,4,6,6,10,2,7,6,5
366,No,0,4,8,7,7,6,2,2,6,6
367,No,0,5,6,5,9,6,8,4,6,6
368,No,0,8,5,8,4,1,5,5,2,10
369,Yes,43,10,5,7,7,1,2,6,9,10
370,No,0,3,2,5,4,9,7,6,3,8
371,No,0,10,2,6,10,10,9,4,4,5
372,Yes,13,9,5,9,4,3,1,9,3,2
373,Yes,43,4,2,9,10,6,8,10,9,9
374,Yes,7,1,4,7,10,7,5,3,2,1
375,No,0,6,2,2,9,6,8,3,3,3
376,No,0,7,10,6,8,4,9,8,9,6
377,No,0,6,7,7,9,10,7,4,9,10
378,Yes,23,10,4,8,5,9,1,7,2,5
379,No,0,1,4,4,7,1,2,6,8,9
380,Yes,11,1,8,9,7,6,9,1,7,8
381,No,0,7,2,3,3,7,3,5,4,4
382,No,0,2,4,8,7,8,7,10,3,1
383,No,0,5,7,8,7,7,4,4,4,4
384,Yes,3,5,7,6,8,10,4,6,8,6
385,Yes,3,7,6,4,5,2,10,9,5,3
386,No,0,7,5,10,3,5,10,3,8,3
387,No,0,10,8,5,7,3,1,10,9,5
388,No,0,3,7,8,8,6,7,5,3,3
389,Yes,41,1,8,10,3,3,1,2,1,2
390,Yes,50,9,8,7,5,4,2,9,1,6
391,No,0,8,9,2,6,1,2,5,2,1
392,Yes,26,2,4,10,5,4,9,9,5,5
393,No,0,10,7,9,6,5,7,6,6,4
394,Yes,9,9,5,1,1,5,3,5,9,7
395,Yes,2,2,2,4,2,9,7,9,1,4
396,Yes,47,10,2,10,2,6,5,3,2,1
397,Yes,25,10,3,5,8,5,4,9,9,1
398,Yes,11,4,2,1,9,8,5,6,10,3
399,No,0,2,6,2,6,9,3,9,3,8
400,No,0,2,9,2,5,4,6,10,4,1
401,No,0,4,9,8,6,8,5,6,1,6
402,Yes,2,6,7,8,7,7,6,3,1,9
403,No,0,7,7,7,8,1,5,9,9,8
404,Yes,45,8,10,4,4,10,3,6,1,6
405,No,0,2,4,4,9,1,3,4,4,6
406,No,0,10,6,8,6,4,7,3,4,1
407,No,0,4,7,7,1,5,4,10,10,4
408,Yes,2,4,2,2,2,5,3,10,10,10
409,No,0,5,4,6,2,10,4,1,8,8
410,No,0,3,3,1,1,9,3,4,2,5
411,No,0,10,6,7,1,3,5,8,2,9
412,No,0,6,2,4,2,9,8,2,7,5
413,No,0,7,4,9,8,6,6,3,10,4
414,Yes,28,3,3,1,10,6,6,1,9,6
415,No,0,7,7,1,10,3,6,1,2,2
416,No,0,8,9,9,8,1,7,1,7,5
417,No,0,8,3,5,6,1,8,10,2,5
418,Yes,4,5,4,10,10,8,5,10,6,8
419,Yes,37,10,1,6,2,10,4,7,10,6
420,No,0,8,6,2,4,7,5,6,10,5
421,No,0,9,6,10,10,6,5,10,9,9
422,Yes,19,1,8,6,2,5,1,8,6,3
423,No,0,1,10,3,6,4,6,10,9,10
424,Yes,14,5,4,5,5,9,5,5,8,6
425,No,0,7,5,9,6,1,9,9,7,4
426,No,0,5,7,2,7,7,6,1,4,9
427,No,0,4,5,10,6,3,7,9,3,10
428,No,0,5,6,9,2,4,9,1,8,3
429,Yes,39,4,8,10,2,10,1,3,2,3
430,No,0,10,7,3,7,4,6,4,4,5
431,Yes,7,7,5,10,2,8,3,1,3,2
432,Yes,29,2,7,4,2,9,9,4,6,10
433,Yes,42,2,2,5,5,5,3,2,2,2
434,No,0,10,6,6,3,5,5,9,9,5
435,No,0,3,9,10,6,10,7,6,8,6
436,No,0,4,4,6,7,2,9,3,8,5
437,Yes,34,7,1,6,6,3,7,4,3,5
438,No,0,5,4,8,7,10,4,10,10,7
439,No,0,3,5,2,7,5,10,8,5,2
440,Yes,49,4,10,2,2,4,8,8,5,3
441,Yes,25,9,4,9,4,3,5,1,1,8
442,No,0,4,3,4,9,5,7,10,6,5
443,No,0,7,2,8,4,5,4,2,10,8
444,No,0,8,1,5,2,1,7,6,8,1
445,No,0,3,9,1,3,8,6,10,10,10
446,No,0,2,1,1,9,7,1,3,8,2
447,No,0,4,2,6,6,7,8,3,2,2
448,No,0,3,1,9,1,2,5,8,6,7
449,No,0,9,5,10,3,6,8,2,6,7
450,No,0,1,5,1,2,3,3,10,4,5
451,Yes,16,4,8,5,10,4,8,9,8,9
452,No,0,10,9,8,8,8,10,7,10,9
453,No,0,9,3,6,8,6,8,8,7,5
454,No,0,2,9,10,1,7,7,6,7,2
455,Yes,6,1,4,8,9,7,3,9,5,8
456,Yes,27,9,8,7,10,3,10,4,8,3
457,No,0,1,7,9,5,2,7,1,8,1
458,Yes,42,9,5,1,7,3,10,1,2,6
459,No,0,3,7,4,1,3,4,9,9,1
460,No,0,5,9,3,2,3,8,9,4,10
461,Yes,47,3,6,4,1,10,5,5,8,10
462,No,0,6,2,3,4,5,4,5,2,3
463,Yes,34,5,1,8,3,10,5,6,4,1
464,No,0,5,7,4,10,9,5,3,6,5
465,No,0,8,10,7,6,3,6,6,2,4
466,Yes,49,3,1,4,4,6,1,10,6,6
467,No,0,5,4,6,3,8,1,5,4,2
468,Yes,15,9,1,5,9,6,6,6,8,7
469,No,0,4,9,8,10,3,9,4,6,6
470,Yes,36,8,4,5,2,9,6,10,5,8
471,Yes,34,6,2,3,4,7,5,4,7,1
472,No,0,6,4,9,8,1,6,6,6,2
473,Yes,34,6,3,4,1,3,6,2,4,9
474,No,0,3,10,8,2,1,10,2,4,1
475,Yes,45,8,4,8,3,1,1,10,7,9
476,No,0,9,5,6,4,6,8,7,5,4
477,Yes,3,10,7,1,2,2,9,2,10,3
478,No,0,5,1,4,4,6,1,3,5,1
479,No,0,10,7,5,9,7,5,7,3,6
480,No,0,1,9,3,3,9,10,9,1,6
481,No,0,10,3,3,8,6,2,8,5,7
482,Yes,44,2,1,3,2,4,2,9,9,9
483,No,0,8,9,7,10,5,10,7,3,1
484,Yes,18,9,4,6,1,3,2,2,5,4
485,No,0,5,6,3,8,2,2,6,6,9
486,No,0,4,2,9,4,9,2,10,10,5
487,No,0,7,3,5,6,10,7,3,7,1
488,Yes,36,6,5,3,5,8,10,3,1,8
489,Yes,37,7,8,6,7,2,3,8,6,5
490,Yes,33,9,7,4,1,7,10,3,3,7
491,No,0,9,5,2,8,3,9,2,1,6
492,No,0,7,7,1,6,2,6,6,3,8
493,Yes,16,1,3,3,1,2,9,10,7,6
494,Yes,32,5,5,7,4,5,9,5,4,10
495,Yes,50,6,8,2,2,8,8,6,7,7
496,Yes,18,10,8,4,5,8,1,6,2,8
497,No,0,1,2,5,5,1,7,10,4,9
498,No,0,9,10,1,9,8,7,2,4,7
499,Yes,4,4,2,5,1,5,2,5,6,4
500,Yes,45,8,9,2,7,8,7,3,7,4
501,No,0,8,3,8,7,6,4,8,2,7
502,No,0,10,2,4,3,6,2,2,5,10
503,No,0,8,4,2,5,10,3,3,2,3
504,Yes,17,6,9,10,10,8,9,2,8,9
505,No,0,3,8,1,5,3,1,3,5,3
506,No,0,8,5,8,10,5,5,2,10,5
507,Yes,18,8,1,1,9,8,4,8,2,6
508,No,0,8,8,3,5,4,10,4,8,2
509,Yes,43,3,2,7,4,6,10,8,6,3
510,No,0,9,3,4,9,5,9,6,8,10
511,No,0,1,6,6,6,5,4,1,5,8
512,Yes,25,7,5,5,9,8,4,3,5,1
513,Yes,7,1,8,5,4,9,8,1,5,1
514,No,0,7,3,4,1,1,5,10,3,6
515,No,0,8,10,9,7,4,9,7,9,9
516,No,0,3,7,6,8,3,9,3,9,4
517,No,0,6,9,1,4,2,5,6,7,7
518,Yes,8,6,8,5,3,6,6,9,10,6
519,No,0,9,8,4,6,10,8,10,8,2
520,No,0,10,4,6,6,8,3,10,4,8
521,No,0,4,2,9,9,10,5,2,7,9
522,No,0,2,1,6,9,6,2,9,6,10
523,No,0,4,1,1,9,10,7,3,7,3
524,No,0,1,3,7,1,5,4,9,7,5
525,No,0,9,4,9,7,5,9,9,3,5
526,No,0,10,2,7,1,1,8,1,2,2
527,Yes,11,10,6,4,3,4,1,4,9,7
528,No,0,2,2,10,10,7,9,2,8,6
529,Yes,2,7,7,5,2,10,7,9,5,3
530,Yes,44,8,7,9,4,10,8,5,1,9
531,No,0,10,2,10,2,2,2,4,2,5
532,Yes,19,5,1,3,7,10,8,5,3,6
533,Yes,37,1,10,5,1,4,8,5,5,10
534,No,0,2,4,4,4,9,1,6,2,2
535,Yes,25,1,4,8,2,5,4,1,5,2
536,No,0,7,9,6,1,4,10,6,3,10
537,Yes,17,8,9,4,7,6,4,2,5,4
538,Yes,25,8,4,9,5,7,1,1,2,3
539,No,0,4,10,4,5,2,8,1,2,8
540,No,0,10,8,3,1,4,5,6,1,10
541,Yes,49,1,7,2,5,5,4,5,10,10
542,No,0,7,3,6,3,10,9,7,9,3
543,No,0,8,3,4,9,3,6,9,6,5
544,No,0,1,6,7,5,4,9,7,6,5
545,Yes,28,4,9,8,7,1,10,8,10,8
546,Yes,3,7,5,10,2,6,7,4,4,9
547,Yes,45,8,7,2,6,1,7,8,4,7
548,Yes,23,9,3,10,3,5,7,6,9,4
549,No,0,3,6,1,9,6,9,3,7,2
550,No,0,10,7,4,8,1,4,8,2,8
551,No,0,2,9,10,4,6,5,5,10,10
552,No,0,10,9,10,10,10,10,6,8,1
553,Yes,21,10,6,1,10,8,9,10,7,2
554,No,0,4,4,10,5,9,10,6,8,10
555,No,0,9,6,10,3,4,9,8,10,2
556,Yes,27,7,10,3,4,4,7,6,9,6
557,No,0,6,5,10,7,2,7,4,9,2
