Candidate ID,Age,Gender,Position Applied For,Years of Experience,Education Level,Graduated from Elite College,Different Location,LinkedIn Profile,LinkedIn Connections
229,25,Male,Data Scientist,9,PhD,No,No,Yes,781
230,32,Female,Web Developer,7,Master's,No,No,No,0
231,25,Female,Database Administrator,9,High School,Yes,Yes,No,0
232,28,Female,Database Administrator,5,PhD,No,No,No,0
233,30,Female,Software Engineer,5,PhD,No,Yes,No,0
234,28,Male,System Analyst,1,Master's,No,Yes,No,0
235,24,Female,Database Administrator,9,High School,No,Yes,No,0
236,22,Male,Software Engineer,0,Bachelor's,No,Yes,Yes,888
237,31,Male,Database Administrator,4,High School,No,No,No,0
238,29,Female,Web Developer,2,PhD,Yes,Yes,No,0
239,22,Female,Web Developer,7,Bachelor's,No,Yes,Yes,495
240,24,Male,System Analyst,10,High School,No,No,No,0
241,25,Female,System Analyst,8,Master's,No,No,Yes,243
242,32,Female,Web Developer,0,PhD,No,Yes,No,0
243,24,Female,System Analyst,9,PhD,Yes,No,No,0
244,26,Male,Data Scientist,8,Bachelor's,Yes,No,Yes,991
245,24,Female,Database Administrator,1,Master's,Yes,Yes,No,0
246,26,Female,System Analyst,1,Bachelor's,No,Yes,No,0
247,25,Female,Software Engineer,5,High School,Yes,Yes,No,0
248,22,Female,Data Scientist,3,PhD,No,No,No,0
249,32,Female,Software Engineer,5,PhD,No,Yes,Yes,488
250,32,Male,Web Developer,6,High School,No,Yes,No,0
251,25,Female,Software Engineer,4,High School,No,No,Yes,192
252,24,Female,Data Scientist,6,Master's,Yes,Yes,No,0
253,32,Female,Data Scientist,3,Master's,Yes,Yes,No,0
254,27,Female,Data Scientist,3,Master's,No,Yes,No,0
255,28,Male,System Analyst,4,High School,No,No,No,0
256,28,Male,Database Administrator,9,Master's,No,No,Yes,858
257,29,Female,System Analyst,1,Bachelor's,Yes,Yes,No,0
258,23,Male,Database Administrator,8,High School,Yes,Yes,Yes,214
259,31,Male,Database Administrator,8,Master's,Yes,Yes,No,0
260,25,Male,Data Scientist,8,High School,Yes,Yes,No,0
261,26,Female,System Analyst,9,PhD,No,Yes,No,0
262,22,Male,Data Scientist,2,Master's,Yes,No,No,0
263,31,Male,System Analyst,9,PhD,No,Yes,Yes,888
264,30,Male,Software Engineer,6,Master's,No,Yes,Yes,107
265,23,Female,Database Administrator,8,Master's,No,Yes,No,0
266,28,Male,Web Developer,5,PhD,No,Yes,No,0
267,24,Female,System Analyst,9,Master's,No,No,No,0
268,23,Female,Web Developer,0,Bachelor's,No,No,No,0
269,26,Female,Software Engineer,9,High School,Yes,Yes,No,0
270,32,Female,Web Developer,8,Bachelor's,Yes,No,Yes,575
271,31,Female,Web Developer,6,High School,No,No,Yes,767
272,28,Male,Data Scientist,8,PhD,No,No,Yes,917
273,25,Male,Software Engineer,3,Master's,No,No,No,0
274,26,Male,Database Administrator,2,Master's,No,No,Yes,499
275,28,Male,Data Scientist,4,PhD,No,No,No,0
276,24,Male,Web Developer,7,Bachelor's,Yes,Yes,No,0
277,26,Male,Data Scientist,6,PhD,No,Yes,No,0
278,25,Male,Web Developer,3,PhD,No,Yes,No,0
279,30,Female,System Analyst,1,PhD,No,No,No,0
280,29,Female,Data Scientist,3,PhD,No,No,No,0
281,32,Female,Data Scientist,0,Master's,No,No,No,0
282,29,Male,System Analyst,8,High School,No,No,Yes,770
283,31,Female,Software Engineer,4,Master's,No,No,No,0
284,24,Male,Software Engineer,3,Bachelor's,No,No,No,0
285,32,Male,Data Scientist,10,High School,No,No,No,0
286,23,Male,System Analyst,6,High School,Yes,No,No,0
287,26,Female,Data Scientist,7,Bachelor's,No,No,No,0
288,28,Female,Web Developer,7,Bachelor's,Yes,Yes,No,0
289,32,Male,Web Developer,1,Master's,No,Yes,Yes,652
290,25,Female,Software Engineer,6,Bachelor's,Yes,No,No,0
291,29,Male,Web Developer,1,High School,No,Yes,No,0
292,30,Male,Software Engineer,4,Master's,No,No,No,0
293,24,Male,Data Scientist,4,Master's,No,No,Yes,951
294,26,Female,System Analyst,7,High School,Yes,Yes,No,0
295,24,Female,System Analyst,4,High School,No,Yes,No,0
296,25,Female,Data Scientist,3,Master's,No,Yes,No,0
297,25,Female,Software Engineer,7,PhD,No,No,No,0
298,27,Male,Database Administrator,1,High School,Yes,No,Yes,411
299,28,Male,Software Engineer,6,PhD,No,No,No,0
300,27,Male,System Analyst,2,PhD,Yes,Yes,Yes,88
301,27,Female,Data Scientist,5,Master's,No,Yes,No,0
302,31,Male,System Analyst,9,Bachelor's,No,No,No,0
303,23,Male,System Analyst,3,PhD,Yes,No,No,0
304,31,Male,Software Engineer,7,Master's,No,No,No,0
305,32,Female,Web Developer,5,Master's,No,Yes,No,0
306,25,Female,Database Administrator,1,Bachelor's,Yes,No,Yes,58
307,25,Male,Software Engineer,9,Master's,No,No,No,0
308,31,Male,Data Scientist,2,Master's,No,Yes,No,0
309,28,Female,Data Scientist,10,Master's,No,Yes,Yes,83
310,30,Female,Data Scientist,9,Bachelor's,No,No,No,0
311,24,Male,Web Developer,6,Bachelor's,No,No,No,0
312,28,Male,System Analyst,1,Bachelor's,No,Yes,Yes,251
313,25,Male,Database Administrator,0,PhD,Yes,Yes,Yes,786
314,25,Female,Data Scientist,2,PhD,No,Yes,Yes,438
315,29,Male,Web Developer,3,PhD,No,Yes,No,0
316,32,Male,Database Administrator,0,High School,No,Yes,Yes,399
317,28,Male,Web Developer,1,Bachelor's,No,Yes,Yes,111
318,30,Female,Data Scientist,7,High School,No,Yes,No,0
319,23,Male,System Analyst,6,PhD,Yes,Yes,No,0
320,31,Female,Database Administrator,0,High School,No,Yes,Yes,733
321,28,Female,Software Engineer,0,Bachelor's,Yes,Yes,Yes,406
322,24,Female,System Analyst,7,Bachelor's,Yes,No,No,0
323,30,Male,Database Administrator,0,PhD,No,No,No,0
324,29,Male,Web Developer,9,High School,Yes,Yes,No,0
325,31,Female,Data Scientist,5,PhD,Yes,Yes,No,0
326,31,Female,System Analyst,5,PhD,Yes,No,No,0
327,26,Female,Software Engineer,4,Bachelor's,No,Yes,No,0
328,32,Female,System Analyst,8,High School,Yes,No,Yes,974
329,30,Male,System Analyst,8,Bachelor's,Yes,No,No,0
330,31,Female,Data Scientist,9,Bachelor's,No,No,No,0
331,27,Male,Software Engineer,2,PhD,Yes,Yes,No,0
332,24,Female,Web Developer,4,High School,Yes,Yes,No,0
333,28,Female,System Analyst,8,Bachelor's,Yes,Yes,No,0
334,30,Male,Software Engineer,9,Master's,No,Yes,No,0
335,24,Male,Web Developer,1,Master's,Yes,Yes,Yes,907
336,22,Male,Database Administrator,1,Master's,No,No,No,0
337,24,Male,Database Administrator,9,Bachelor's,No,No,No,0
338,31,Female,Web Developer,10,High School,Yes,Yes,No,0
339,32,Female,Database Administrator,7,Master's,No,Yes,No,0
340,27,Female,Software Engineer,8,High School,Yes,Yes,No,0
341,22,Female,Web Developer,8,Bachelor's,No,Yes,No,0
342,29,Female,Web Developer,9,PhD,Yes,No,No,0
343,23,Male,System Analyst,9,Master's,No,No,No,0
344,24,Male,Database Administrator,0,Master's,No,No,Yes,592
345,25,Female,Software Engineer,2,PhD,No,Yes,Yes,573
346,29,Male,Web Developer,0,Master's,No,Yes,No,0
347,27,Male,Database Administrator,7,Bachelor's,No,Yes,No,0
348,28,Female,Software Engineer,0,High School,No,No,Yes,776
349,30,Male,System Analyst,10,Master's,No,Yes,No,0
350,29,Female,Web Developer,6,PhD,No,Yes,Yes,340
351,28,Male,Database Administrator,6,Bachelor's,No,Yes,No,0
352,32,Female,Web Developer,4,High School,No,Yes,Yes,494
353,27,Male,Database Administrator,8,Bachelor's,No,Yes,No,0
354,28,Male,Data Scientist,6,PhD,Yes,No,No,0
355,26,Male,Data Scientist,0,PhD,Yes,Yes,Yes,381
356,29,Female,Web Developer,0,PhD,Yes,No,No,0
357,23,Male,Database Administrator,4,Master's,No,No,Yes,402
358,25,Male,Web Developer,7,PhD,No,No,Yes,422
359,22,Male,Database Administrator,0,PhD,No,Yes,Yes,322
360,23,Male,Data Scientist,3,Bachelor's,No,No,No,0
361,30,Male,Web Developer,2,PhD,No,No,No,0
362,32,Male,Data Scientist,8,PhD,No,Yes,Yes,930
363,26,Female,Software Engineer,9,Bachelor's,No,Yes,No,0
364,28,Female,System Analyst,1,PhD,No,No,No,0
365,25,Female,Web Developer,4,High School,No,No,No,0
366,22,Male,Web Developer,6,High School,Yes,No,No,0
367,29,Female,Database Administrator,9,Master's,No,Yes,No,0
368,27,Male,Web Developer,1,High School,No,Yes,No,0
369,31,Male,Software Engineer,5,Bachelor's,No,Yes,No,0
370,25,Male,Database Administrator,0,Bachelor's,No,No,No,0
371,32,Female,System Analyst,3,PhD,No,No,No,0
372,26,Male,Data Scientist,9,Bachelor's,No,No,No,0
373,28,Female,System Analyst,7,PhD,No,No,No,0
374,22,Female,Data Scientist,6,PhD,No,Yes,No,0
375,31,Female,System Analyst,10,High School,No,No,Yes,415
376,27,Female,Data Scientist,7,Bachelor's,No,Yes,No,0
377,26,Male,Web Developer,6,High School,Yes,Yes,No,0
378,32,Male,Data Scientist,9,Bachelor's,No,No,No,0
379,24,Male,System Analyst,1,PhD,Yes,No,Yes,441
380,28,Male,Web Developer,2,Master's,No,Yes,No,0
381,26,Male,Software Engineer,4,High School,No,Yes,Yes,46
382,23,Female,Web Developer,6,Master's,No,No,No,0
383,23,Male,Data Scientist,9,PhD,Yes,Yes,Yes,939
384,23,Female,System Analyst,3,Master's,No,Yes,No,0
385,30,Female,Software Engineer,10,Bachelor's,No,Yes,No,0
386,22,Male,Database Administrator,9,Master's,Yes,Yes,No,0
387,27,Male,System Analyst,6,High School,Yes,Yes,No,0
388,25,Female,Software Engineer,8,Bachelor's,No,Yes,No,0
389,31,Male,Database Administrator,8,Master's,No,Yes,Yes,214
390,26,Female,Data Scientist,5,PhD,No,Yes,Yes,395
391,28,Male,Software Engineer,10,Bachelor's,Yes,Yes,Yes,906
392,26,Male,Database Administrator,2,High School,No,Yes,Yes,513
393,25,Male,System Analyst,2,Bachelor's,No,Yes,No,0
394,31,Female,Web Developer,4,Bachelor's,No,No,Yes,466
395,26,Female,System Analyst,5,Bachelor's,No,Yes,No,0
396,31,Female,Data Scientist,2,Bachelor's,No,No,Yes,585
397,24,Male,Web Developer,2,Master's,Yes,Yes,No,0
398,27,Male,Web Developer,4,Bachelor's,No,No,No,0
399,27,Female,Database Administrator,9,PhD,No,No,No,0
400,29,Male,Database Administrator,1,PhD,Yes,No,No,0
401,22,Male,Database Administrator,7,Master's,Yes,No,Yes,488
402,28,Male,Data Scientist,2,High School,No,Yes,No,0
403,22,Male,Web Developer,0,PhD,No,Yes,No,0
404,22,Female,Software Engineer,3,Master's,Yes,Yes,No,0
405,22,Male,Web Developer,5,Master's,No,No,No,0
406,23,Female,Database Administrator,6,Master's,No,No,No,0
407,27,Female,Software Engineer,7,PhD,No,Yes,No,0
408,29,Female,Web Developer,5,Bachelor's,No,Yes,No,0
409,32,Male,Data Scientist,4,Master's,Yes,No,Yes,590
410,26,Male,Web Developer,5,Bachelor's,No,Yes,No,0
411,28,Male,Web Developer,0,Master's,No,No,No,0
412,27,Male,Web Developer,1,High School,No,No,No,0
413,24,Male,Web Developer,6,PhD,No,Yes,No,0
414,23,Female,Database Administrator,6,Bachelor's,No,No,Yes,571
415,25,Female,Software Engineer,10,High School,No,Yes,No,0
416,27,Male,Database Administrator,6,High School,No,No,Yes,926
417,24,Male,System Analyst,2,High School,No,No,Yes,859
418,22,Female,Software Engineer,3,Master's,Yes,No,No,0
419,30,Female,Database Administrator,10,Master's,No,Yes,No,0
420,27,Female,Software Engineer,9,PhD,No,No,No,0
421,30,Male,Data Scientist,4,Master's,No,No,Yes,493
422,26,Male,Data Scientist,7,Bachelor's,Yes,Yes,No,0
423,24,Male,Web Developer,8,Bachelor's,No,No,Yes,515
424,26,Female,Database Administrator,8,High School,No,Yes,No,0
425,24,Male,System Analyst,3,Bachelor's,No,Yes,Yes,629
426,22,Male,Web Developer,0,Bachelor's,No,Yes,No,0
427,28,Male,Web Developer,4,PhD,No,No,No,0
428,23,Female,Data Scientist,7,PhD,No,No,No,0
429,30,Female,Database Administrator,7,Bachelor's,No,Yes,No,0
430,29,Female,Software Engineer,1,Bachelor's,No,Yes,Yes,793
431,31,Female,Web Developer,7,PhD,Yes,No,No,0
432,32,Male,Web Developer,6,Bachelor's,No,Yes,No,0
433,25,Female,System Analyst,8,Master's,No,Yes,No,0
434,28,Male,Data Scientist,5,Bachelor's,No,No,No,0
435,30,Male,System Analyst,6,High School,No,No,No,0
436,25,Female,System Analyst,2,Bachelor's,Yes,No,No,0
437,28,Male,System Analyst,6,High School,Yes,No,Yes,907
438,27,Female,Data Scientist,10,Bachelor's,No,No,No,0
439,30,Male,Software Engineer,1,Master's,No,No,No,0
440,25,Female,Database Administrator,2,High School,Yes,Yes,No,0
441,31,Female,Web Developer,9,High School,No,No,No,0
442,22,Female,Software Engineer,9,Bachelor's,No,Yes,No,0
443,32,Female,System Analyst,7,High School,No,Yes,Yes,879
444,28,Female,Web Developer,7,Master's,No,Yes,No,0
445,27,Male,Web Developer,2,Master's,Yes,Yes,No,0
446,30,Male,Software Engineer,5,Master's,No,No,Yes,101
447,28,Male,Web Developer,3,Master's,No,Yes,No,0
448,32,Male,System Analyst,6,Bachelor's,Yes,Yes,No,0
449,22,Male,Data Scientist,6,High School,Yes,Yes,Yes,129
450,25,Female,Data Scientist,6,PhD,No,No,No,0
451,26,Male,Data Scientist,5,High School,No,Yes,Yes,577
452,30,Female,Web Developer,10,High School,Yes,No,Yes,620
453,22,Female,System Analyst,10,High School,Yes,No,No,0
454,23,Male,System Analyst,10,Bachelor's,No,Yes,Yes,693
455,31,Female,System Analyst,6,High School,No,No,No,0
456,25,Male,System Analyst,2,Bachelor's,No,Yes,Yes,948
457,29,Female,System Analyst,10,PhD,Yes,Yes,No,0
